Абрикосовая	ул.	Абрыкосавая	Советский			
Авакяна	ул.	Авакяна	Октябрьский			
Авангардная	ул.	Авангардная	Партизанский			
Авангардный	пер.	Авангардны	Партизанский			
Авиации	ул.					
Авиационный	пер.	Авіацыйны				
Авроровская	ул.	Аўрораўская				
Автодоровская	ул.	Аўтадораўская	Московский			
Автодоровский	пер.	Аўтадораўскі	Московский			
Автозаводская	ул.	Аўтазаводская	Заводской			
Автозаводской	пер.	Аўтазавадскі	Заводской			
Автомобилистов	ул.	Аўтамабілістаў	Центральный			
Агатовый	пер.	Агатавы	Центральный			
Азгура	ул.	Азгура	Партизанский			
Азизова	ул.	Азізава	Центральный			
Азовская	ул.	Азоўская	Московский			
Айвазовского	ул.	Айвазоўскага	Заводской			
Айвазовского	пер.	Айвазоўскага	Заводской			
Академическая	ул.	Акадэмічная	Первомайский			
Алибегова	ул.	Алібегава	Московский			
Аллейная	ул.	Алейная	Первомайский			
Алтайская	ул.	Алтайская				
Алтайский	пер.	Алтайскі				
Амбулаторная	ул.	Амбулаторная				
Амбулаторный	пер.	Амбулаторны				
Амураторская	ул.	Амуратарская				
Амурская	ул.	Амурская				
Амурский	пер.	Амурскі				
Ангарская	ул.	Ангарская				
Ангарская 2-я	ул.					
Ангарский	пер.	Ангарскі				
Андреевская	ул.	Андрэеўская				
Аннаева	ул.					
Аннаева	пер.					
Антоновская	ул.	Антонаўская				
Аполинарьевская	ул.	Апалінар'еўская	Советский			
Аранская	ул.	Аранская				
Аранский	пер.					
Арктическая 1-я	ул.					
Арктическая 2-я	ул.					
Артема	ул.	Арцёма				
Артема 1-й	пер.					
Артема 1-й	проезд					
Артема 4-й	проезд					
Артиллеристов	ул.	Артылерыстаў	Октябрьский			
Асаналиева	ул.	Асаналіева	Октябрьский			
Асаналиева	пер.	Асаналіева	Октябрьский			
Аэродромная	ул.	Аэрадромная	Октябрьский			
Аэродромный	пер.	Аэрадромны	Октябрьский			
Аэрофлотская	ул.	Аэрафлотская	Октябрьский			
Аэрофлотский 1-й	пер.	Аэрафлотскі 1-шы				
Бабушкина	ул.	Бабушкіна				
Багратиона	ул.					
Багратиона 1-й	пер.					
Багратиона 2-й	пер.					
Багряная	ул.					
Багряный	пер.					
Базисная 1-я	ул.					
Базисная 2-я	ул.					
Базисный	пер.					
Байкальская	ул.					
Бакинская	ул.					
Балтийская	ул.					
Барановщина	ул.					
Барановщина 1-й	пер.					
Басиаловская	ул.					
Басиаловский 1-й	пер.					
Басиаловский 2-й	пер.					
Алеся Бачило	ул.					
Бангалор	пл.	Бангалор			
Беды	ул.	Бяды				
Белинского	ул.					
Бельского	ул.					
